,X,Y,Z,R,Phi,ar,Vcirc
49,-21.557789,0.3316583,0.0,21.56034,3.1262093,-6.35256383839718e-14,205.5891975460199
50,-21.557789,0.5527638,0.0,21.564875,3.1159573,-6.344624677645273e-14,205.48229040253906
51,-21.557789,0.77386934,0.0,21.571674,3.1057107,-6.344657824921229e-14,205.5152203793161
52,-21.557789,0.99497485,0.0,21.580738,3.0954716,-6.347577545206163e-14,205.60568334087947
53,-21.557789,1.2160804,0.0,21.592062,3.085242,-6.35724490188514e-14,205.81616952627718
54,-21.557789,1.4371859,0.0,21.605642,3.0750246,-6.348192033553129e-14,205.7342415003113
55,-21.557789,1.6582915,0.0,21.621475,3.0648208,-6.340263191632759e-14,205.6810426346963
56,-21.557789,1.879397,0.0,21.639557,3.0546331,-6.336305847551757e-14,205.70280252180854
57,-21.557789,2.1005025,0.0,21.65988,3.0444634,-6.332555470210748e-14,205.73845878771573
58,-21.557789,2.321608,0.0,21.682438,3.0343137,-6.340140222465376e-14,205.96880438567914
59,-21.557789,2.5427136,0.0,21.707226,3.0241864,-6.336578692532973e-14,206.0286131223974
60,-21.557789,2.763819,0.0,21.734234,3.0140831,-6.330346294175972e-14,206.0553347393437
61,-21.557789,2.9849246,0.0,21.763456,3.004006,-6.311978087138493e-14,205.8944482407684
62,-21.557789,3.2060301,0.0,21.794882,2.9939568,-6.30031435051545e-14,205.85258713075618
63,-21.557789,3.4271357,0.0,21.828503,2.9839375,-6.297128957852238e-14,205.95921479693854
64,-21.557789,3.6482413,0.0,21.864307,2.9739501,-6.290461800555959e-14,206.0189113498395
65,-21.557789,3.8693466,0.0,21.902285,2.9639964,-6.32636435320099e-14,206.78535143322537
66,-21.557789,4.090452,0.0,21.942427,2.9540782,-6.298788291413205e-14,206.52317570267147
67,-21.557789,4.311558,0.0,21.984716,2.9441972,-6.317262913737505e-14,207.0250369246952
68,-21.336683,-5.19598,0.0,21.960243,3.3804665,-6.113993638663886e-14,203.55371130492992
69,-21.336683,-4.9748745,0.0,21.908981,3.370661,-6.137339098540681e-14,203.70379180414093
70,-21.336683,-4.753769,0.0,21.859835,3.3608103,-6.134525150056409e-14,203.4285357011105
71,-21.336683,-4.5326633,0.0,21.81282,3.3509161,-6.149444527618082e-14,203.45661613121246
72,-21.336683,-4.311558,0.0,21.767948,3.3409805,-6.176051747937397e-14,203.68646505291974
73,-21.336683,-4.090452,0.0,21.725235,3.3310046,-6.188428272839979e-14,203.6903164797545
74,-21.336683,-3.8693466,0.0,21.684692,3.3209903,-6.211594418748084e-14,203.8807108951932
75,-21.336683,-3.6482413,0.0,21.646334,3.3109396,-6.269077561383562e-14,204.64067372043996
76,-21.336683,-3.4271357,0.0,21.610167,3.3008542,-6.228631537648627e-14,203.80899060086242
77,-21.336683,-3.2060301,0.0,21.576206,3.2907362,-6.248487617485026e-14,203.97312972173057
78,-21.336683,-2.9849246,0.0,21.544462,3.2805872,-6.292289442792373e-14,204.53617761873275
79,-21.336683,-2.763819,0.0,21.514942,3.2704093,-6.296850872172015e-14,204.4700750651726
80,-21.336683,-2.5427136,0.0,21.487658,3.2602043,-6.306790995525793e-14,204.50160331850955
81,-21.336683,-2.321608,0.0,21.462616,3.2499747,-6.328917605474755e-14,204.7406176526456
82,-21.336683,-2.1005025,0.0,21.439827,3.2397223,-6.340359284641482e-14,204.8167794871489
83,-21.336683,-1.879397,0.0,21.419294,3.229449,-6.354136060896661e-14,204.94097382955405
84,-21.336683,-1.6582915,0.0,21.401028,3.2191572,-6.365681101460013e-14,205.03958506916152
85,-21.336683,-1.4371859,0.0,21.38503,3.2088487,-6.368454493744143e-14,205.00758294557733
86,-21.336683,-1.2160804,0.0,21.371311,3.1985261,-6.380301131068635e-14,205.13233955471267
87,-21.336683,-0.99497485,0.0,21.359869,3.1881912,-6.386432175544588e-14,205.17592756111839
88,-21.336683,-0.77386934,0.0,21.350712,3.1778464,-6.428055156850174e-14,205.79932100892964
89,-21.336683,-0.5527638,0.0,21.343842,3.1674938,-6.420555884993847e-14,205.64614380860056
90,-21.336683,-0.3316583,0.0,21.33926,3.1571357,-6.440387493879666e-14,205.94138937805909
91,-21.336683,-0.110552765,0.0,21.33697,3.146774,-6.432938438069996e-14,205.81120976356246
92,-21.336683,0.110552765,0.0,21.33697,3.1364114,-6.455261132414424e-14,206.16798933485236
93,-21.336683,0.3316583,0.0,21.33926,3.1260498,-6.450374535541672e-14,206.10100310563985
94,-21.336683,0.5527638,0.0,21.343842,3.1156917,-6.450460297195507e-14,206.1244966989201
95,-21.336683,0.77386934,0.0,21.350712,3.105339,-6.45424330039841e-14,206.21811206804338
96,-21.336683,0.99497485,0.0,21.359869,3.0949943,-6.4495828987792e-14,206.18784898097948
97,-21.336683,1.2160804,0.0,21.371311,3.0846593,-6.442756539860345e-14,206.13389291521835
98,-21.336683,1.4371859,0.0,21.38503,3.0743368,-6.441378532539396e-14,206.17799460880138
99,-21.336683,1.6582915,0.0,21.401028,3.0640283,-6.444316926683656e-14,206.3021340637489
100,-21.336683,1.879397,0.0,21.419294,3.0537364,-6.45155661212783e-14,206.5060581110669
101,-21.336683,2.1005025,0.0,21.439827,3.0434632,-6.442196170768231e-14,206.4550790499701
102,-21.336683,2.321608,0.0,21.462616,3.0332108,-6.426647764289502e-14,206.31534810272268
103,-21.336683,2.5427136,0.0,21.487658,3.0229812,-6.414735964671658e-14,206.24426946241505
104,-21.336683,2.763819,0.0,21.514942,3.0127761,-6.400828626395396e-14,206.15133532439265
105,-21.336683,2.9849246,0.0,21.544462,3.0025983,-6.39213811090903e-14,206.15262285538248
106,-21.336683,3.2060301,0.0,21.576206,2.9924493,-6.388925886711326e-14,206.2525981432168
107,-21.336683,3.4271357,0.0,21.610167,2.9823313,-6.385390498657405e-14,206.35773326145707
108,-21.336683,3.6482413,0.0,21.646334,2.972246,-6.377920388975372e-14,206.40950027766635
109,-21.336683,3.8693466,0.0,21.684692,2.9621952,-6.366723879492396e-14,206.41088756100638
110,-21.336683,4.090452,0.0,21.725235,2.9521809,-6.369209515641124e-14,206.64408085086072
111,-21.336683,4.311558,0.0,21.767948,2.942205,-6.389091594125345e-14,207.16971335189908
112,-21.336683,4.5326633,0.0,21.81282,2.9322693,-6.381904827283475e-14,207.2664622341415
113,-21.336683,4.753769,0.0,21.859835,2.9223752,-6.344403518021412e-14,206.8791846952523
114,-21.336683,4.9748745,0.0,21.908981,2.9125245,-6.330329192013246e-14,206.88175937492153
115,-21.336683,5.19598,0.0,21.960243,2.902719,-6.325481679386404e-14,207.04432679464153
116,-21.115578,-6.080402,0.0,21.973597,3.4219658,-6.053123855292656e-14,202.59947441770842
117,-21.115578,-5.8592963,0.0,21.913443,3.4122696,-6.086150647482328e-14,202.8731699688275
118,-21.115578,-5.6381907,0.0,21.855362,3.4025211,-6.122780877661496e-14,203.21292217249257
119,-21.115578,-5.4170856,0.0,21.799368,3.3927214,-6.200322715487163e-14,204.23353690906197
120,-21.115578,-5.19598,0.0,21.745478,3.3828723,-6.313827176777185e-14,205.83953020184828
121,-21.115578,-4.9748745,0.0,21.693708,3.3729753,-6.246846944808019e-14,204.50093257524097
122,-21.115578,-4.753769,0.0,21.644073,3.3630319,-6.236492692223697e-14,204.09749276002236
123,-21.115578,-4.5326633,0.0,21.59659,3.3530438,-6.239824029663436e-14,203.92793623239345
124,-21.115578,-4.311558,0.0,21.551268,3.3430126,-6.291756894951155e-14,204.55982229075983
125,-21.115578,-4.090452,0.0,21.508125,3.33294,-6.275255828988976e-14,204.08681954092353
126,-21.115578,-3.8693466,0.0,21.467173,3.3228283,-6.2901378750511e-14,204.13405733801278
127,-21.115578,-3.6482413,0.0,21.428423,3.3126786,-6.302261753368142e-14,204.14619231361078
128,-21.115578,-3.4271357,0.0,21.391888,3.3024936,-6.318408785967299e-14,204.23321579321723
129,-21.115578,-3.2060301,0.0,21.35758,3.2922745,-6.335117778396887e-14,204.3390313644543
130,-21.115578,-2.9849246,0.0,21.32551,3.2820237,-6.353873093586507e-14,204.4875833197622
131,-21.115578,-2.763819,0.0,21.295689,3.271743,-6.381043955921644e-14,204.7810064461819
132,-21.115578,-2.5427136,0.0,21.268122,3.2614346,-6.420463402801171e-14,205.279564104889
133,-21.115578,-2.321608,0.0,21.242823,3.2511005,-6.497355473245055e-14,206.3822707015422
134,-21.115578,-2.1005025,0.0,21.219795,3.2407432,-6.471660428113337e-14,205.86210816228072
135,-21.115578,-1.879397,0.0,21.19905,3.230364,-6.439935070193019e-14,205.25649760211465
136,-21.115578,-1.6582915,0.0,21.180593,3.219966,-6.443312696658859e-14,205.22091875851626
137,-21.115578,-1.4371859,0.0,21.16443,3.2095509,-6.449540343775424e-14,205.24171613047494
138,-21.115578,-1.2160804,0.0,21.150566,3.199121,-6.459192581367686e-14,205.32795201954602
139,-21.115578,-0.99497485,0.0,21.139008,3.1886785,-6.472049211400506e-14,205.47602871195258
140,-21.115578,-0.77386934,0.0,21.129753,3.1782258,-6.490686989251092e-14,205.72662676882504
