,X,Y,Z,R,Phi,ar,Vcirc
34,-21.11111,0.22222222,0.0,21.11228,3.1310668,-6.70640931054827e-14,209.03093170163572
35,-21.11111,0.6666667,0.0,21.121635,3.1100242,-6.688900434363723e-14,208.80413639627025
36,-21.11111,1.1111112,0.0,21.140331,3.0890095,-6.716337973637365e-14,209.32453068136292
37,-21.11111,1.5555556,0.0,21.168343,3.0680413,-6.748771537779572e-14,209.9683096118796
38,-21.11111,2.0,0.0,21.205637,3.0471377,-6.734817077982228e-14,209.9358096208959
39,-21.11111,2.4444444,0.0,21.252161,3.0263166,-6.728072916771755e-14,210.0607223451382
40,-21.11111,2.8888888,0.0,21.307856,3.0055952,-6.681828171932182e-14,209.61168302017262
41,-21.11111,3.3333333,0.0,21.372648,2.9849908,-6.640724589584135e-14,209.2834396217752
42,-21.11111,3.7777777,0.0,21.446459,2.9645195,-6.602406873234736e-14,209.03879796360795
43,-21.11111,4.2222223,0.0,21.529194,2.9441972,-6.594316315438722e-14,209.3132557651036
44,-21.11111,4.6666665,0.0,21.620749,2.9240384,-6.571471099556388e-14,209.3941887484193
45,-21.11111,5.111111,0.0,21.721014,2.904058,-6.534321889522888e-14,209.28508130100687
46,-21.11111,5.5555553,0.0,21.82987,2.884269,-6.475006014270503e-14,208.85439844510162
47,-21.11111,6.0,0.0,21.947187,2.8646839,-6.46645702475397e-14,209.27656335045143
48,-20.666666,-7.3333335,0.0,21.929178,3.4825718,-6.276886171544571e-14,206.10155387316152
49,-20.666666,-6.888889,0.0,21.78458,3.4633434,-6.325514576892772e-14,206.2151124106737
50,-20.666666,-6.4444447,0.0,21.64814,3.4438653,-6.252724642756684e-14,204.38212306241
51,-20.666666,-6.0,0.0,21.520016,3.4241478,-6.39565183275387e-14,206.09224955825377
52,-20.666666,-5.5555553,0.0,21.400358,3.404202,-6.458053635912275e-14,206.5186635887013
53,-20.666666,-5.111111,0.0,21.289307,3.3840399,-6.52681660108357e-14,207.075836452113
54,-20.666666,-4.6666665,0.0,21.186998,3.3636746,-6.58428767814785e-14,207.48517730120173
55,-20.666666,-4.2222223,0.0,21.09356,3.3431206,-6.654192191988702e-14,208.12323355724052
56,-20.666666,-3.7777777,0.0,21.00911,3.3223925,-6.662062247060252e-14,207.82898961975758
57,-20.666666,-3.3333333,0.0,20.933758,3.301506,-6.70295586300115e-14,208.09169038230772
58,-20.666666,-2.8888888,0.0,20.867601,3.2804778,-6.699370303909163e-14,207.7070410828234
59,-20.666666,-2.4444444,0.0,20.810728,3.2593255,-6.751346705922401e-14,208.22688566787176
60,-20.666666,-2.0,0.0,20.763216,3.2380667,-6.806634293140592e-14,208.8389402697817
61,-20.666666,-1.5555556,0.0,20.725126,3.21672,-6.85244426024044e-14,209.3482376376386
62,-20.666666,-1.1111112,0.0,20.696514,3.1953046,-6.902300481569188e-14,209.96335024084397
63,-20.666666,-0.6666667,0.0,20.677416,3.1738398,-6.911368966111737e-14,210.0042728340265
64,-20.666666,-0.22222222,0.0,20.667862,3.1523452,-6.925135602365005e-14,210.16475104230207
65,-20.666666,0.22222222,0.0,20.667862,3.1308403,-6.963214150519669e-14,210.74176485027962
66,-20.666666,0.6666667,0.0,20.677416,3.1093457,-6.920221258146551e-14,210.1387197337374
67,-20.666666,1.1111112,0.0,20.696514,3.0878808,-6.923084349118593e-14,210.27922828447183
68,-20.666666,1.5555556,0.0,20.725126,3.0664654,-6.904585312846774e-14,210.14320590681976
69,-20.666666,2.0,0.0,20.763216,3.0451188,-6.853275759485359e-14,209.5532378565947
70,-20.666666,2.4444444,0.0,20.810728,3.02386,-6.855770096370233e-14,209.83103402547576
71,-20.666666,2.8888888,0.0,20.867601,3.0027077,-6.868318895007201e-14,210.30977204567372
72,-20.666666,3.3333333,0.0,20.933758,2.9816794,-6.719702369686337e-14,208.35147390758902
73,-20.666666,3.7777777,0.0,21.00911,2.960793,-6.825842317345617e-14,210.3681118109082
74,-20.666666,4.2222223,0.0,21.09356,2.940065,-6.834320317120596e-14,210.9213583385759
75,-20.666666,4.6666665,0.0,21.186998,2.9195108,-6.751442048571434e-14,210.10236911157625
76,-20.666666,5.111111,0.0,21.289307,2.8991456,-6.715436327689784e-14,210.04668770848033
77,-20.666666,5.5555553,0.0,21.400358,2.8789835,-6.665549144465969e-14,209.81012841480796
78,-20.666666,6.0,0.0,21.520016,2.8590376,-6.620881860840723e-14,209.68973568933427
79,-20.666666,6.4444447,0.0,21.64814,2.8393202,-6.536581394026195e-14,208.96983078619087
80,-20.666666,6.888889,0.0,21.78458,2.819842,-6.500535534073437e-14,209.0485343914054
81,-20.666666,7.3333335,0.0,21.929178,2.8006136,-6.486084203804404e-14,209.50791307709414
82,-20.222221,-8.222222,0.0,21.82987,3.5277703,-6.264339657072288e-14,205.42873249123855
83,-20.222221,-7.7777777,0.0,21.666382,3.5087667,-6.352423203776575e-14,206.0918742811313
84,-20.222221,-7.3333335,0.0,21.510836,3.4894812,-6.389502548123458e-14,205.949207795802
85,-20.222221,-6.888889,0.0,21.363405,3.4699223,-6.45540485377336e-14,206.29796420762202
86,-20.222221,-6.4444447,0.0,21.224258,3.4500992,-6.539797681320745e-14,206.96474837092458
87,-20.222221,-6.0,0.0,21.09356,3.4300225,-6.617468791212575e-14,207.54813991681831
88,-20.222221,-5.5555553,0.0,20.971468,3.4097037,-6.683943425317342e-14,207.9834410424299
89,-20.222221,-5.111111,0.0,20.858133,3.3891554,-6.703308580831512e-14,207.7209434457308
90,-20.222221,-4.6666665,0.0,20.7537,3.3683918,-6.79249251366499e-14,208.57406964379956
91,-20.222221,-4.2222223,0.0,20.658302,3.3474271,-6.727929066346314e-14,207.1028031244643
92,-20.222221,-3.7777777,0.0,20.572065,3.3262773,-6.874869310981821e-14,208.91476365019471
93,-20.222221,-3.3333333,0.0,20.495106,3.304959,-6.994325106970524e-14,210.32744690675182
94,-20.222221,-2.8888888,0.0,20.427528,3.28349,-6.957063549481603e-14,209.42033856598104
95,-20.222221,-2.4444444,0.0,20.369427,3.2618883,-6.99605140093805e-14,209.70745027897416
96,-20.222221,-2.0,0.0,20.320883,3.2401733,-7.07115833112234e-14,210.5787421644315
97,-20.222221,-1.5555556,0.0,20.281963,3.2183647,-7.094172149671147e-14,210.7190594558721
98,-20.222221,-1.1111112,0.0,20.252724,3.1964827,-7.129729242623793e-14,211.09415023055885
99,-20.222221,-0.6666667,0.0,20.233208,3.174548,-7.102951087058146e-14,210.59581800641632
100,-20.222221,-0.22222222,0.0,20.223444,3.1525815,-7.042841578391206e-14,209.65222644001494
101,-20.222221,0.22222222,0.0,20.223444,3.130604,-7.137400027330566e-14,211.05494795987536
102,-20.222221,0.6666667,0.0,20.233208,3.1086376,-7.134395162497715e-14,211.06144688073235
103,-20.222221,1.1111112,0.0,20.252724,3.0867028,-7.12690960094382e-14,211.0524046955128
104,-20.222221,1.5555556,0.0,20.281963,3.0648208,-7.133486857936693e-14,211.30213752599778
105,-20.222221,2.0,0.0,20.320883,3.0430121,-7.127083601304329e-14,211.4098280288512
106,-20.222221,2.4444444,0.0,20.369427,3.0212972,-7.108585631961831e-14,211.38733512512746
107,-20.222221,2.8888888,0.0,20.427528,2.9996955,-7.100526166607493e-14,211.5685639585059
108,-20.222221,3.3333333,0.0,20.495106,2.9782264,-7.104221271735702e-14,211.9733592833344
109,-20.222221,3.7777777,0.0,20.572065,2.9569082,-7.05613065034345e-14,211.6509466547712
110,-20.222221,4.2222223,0.0,20.658302,2.9357584,-6.984481120986681e-14,211.01452421540304
111,-20.222221,4.6666665,0.0,20.7537,2.9147937,-6.958102106005304e-14,211.10140781457156
112,-20.222221,5.111111,0.0,20.858133,2.89403,-6.923111914493149e-14,211.09908769880676
113,-20.222221,5.5555553,0.0,20.971468,2.8734818,-6.838355994231032e-14,210.37214226643326
114,-20.222221,6.0,0.0,21.09356,2.853163,-6.828311262084e-14,210.82861197082315
115,-20.222221,6.4444447,0.0,21.224258,2.8330863,-6.76256738095273e-14,210.46022288490911
116,-20.222221,6.888889,0.0,21.363405,2.8132632,-6.714595884207732e-14,210.3987425972354
