,X,Y,Z,R,Phi,ar,Vcirc
0,-21.555555,-4.2222223,0.0,21.96518,3.33502,-6.127014852821835e-14,203.79325465353216
1,-21.555555,-3.7777777,0.0,21.884094,3.3150885,-6.152917147737021e-14,203.8462763242347
2,-21.555555,-3.3333333,0.0,21.811766,3.2950168,-5.965422679102265e-14,200.38443436281673
3,-21.555555,-2.8888888,0.0,21.74828,3.2748196,-6.195024409757358e-14,203.9069015530842
4,-21.555555,-2.4444444,0.0,21.693716,3.2545125,-6.280927967980058e-14,205.0580593453007
5,-21.555555,-2.0,0.0,21.64814,3.2341115,-6.273180273764607e-14,204.71616556366212
6,-21.555555,-1.5555556,0.0,21.61161,3.2136328,-6.285667284838891e-14,204.7468459801412
7,-21.555555,-1.1111112,0.0,21.584173,3.1930935,-6.300109509288396e-14,204.85176905421002
8,-21.555555,-0.6666667,0.0,21.565863,3.1725109,-6.339367447272277e-14,205.40184538021808
9,-21.555555,-0.22222222,0.0,21.556702,3.1519017,-6.367347413202052e-14,205.81090845590467
10,-21.555555,0.22222222,0.0,21.556702,3.1312838,-6.338576446405756e-14,205.34540197838356
11,-21.555555,0.6666667,0.0,21.565863,3.1106746,-6.337148219945113e-14,205.36588964073923
12,-21.555555,1.1111112,0.0,21.584173,3.090092,-6.349135675120957e-14,205.647281743927
13,-21.555555,1.5555556,0.0,21.61161,3.0695527,-6.347827789201541e-14,205.75675119374628
14,-21.555555,2.0,0.0,21.64814,3.049074,-6.344294438914512e-14,205.87324952961296
15,-21.555555,2.4444444,0.0,21.693716,3.028673,-6.350863882437636e-14,206.19652355048785
16,-21.555555,2.8888888,0.0,21.74828,3.0083659,-6.31705837387237e-14,205.90545835171426
17,-21.555555,3.3333333,0.0,21.811766,2.9881687,-6.299268823359962e-14,205.9152178707748
18,-21.555555,3.7777777,0.0,21.884094,2.968097,-6.288998280822022e-14,206.08813400952926
19,-21.555555,4.2222223,0.0,21.96518,2.9481654,-6.393961394998908e-14,208.1854356080573
20,-21.11111,-6.0,0.0,21.947187,3.4185016,-6.103503600667713e-14,203.31854805141546
21,-21.11111,-5.5555553,0.0,21.82987,3.3989165,-6.177171620243584e-14,203.99445923320866
22,-21.11111,-5.111111,0.0,21.721014,3.3791275,-6.284817785367043e-14,205.2505616683774
23,-21.11111,-4.6666665,0.0,21.620749,3.359147,-6.263463080905677e-14,204.4280963516172
24,-21.11111,-4.2222223,0.0,21.529194,3.3389883,-6.319123964263813e-14,204.89920945862605
25,-21.11111,-3.7777777,0.0,21.446459,3.318666,-6.31246706228595e-14,204.39737772923456
26,-21.11111,-3.3333333,0.0,21.372648,3.2981946,-6.348503218331035e-14,204.62693626168732
27,-21.11111,-2.8888888,0.0,21.307856,3.2775903,-6.34480155457194e-14,204.25695582875588
28,-21.11111,-2.4444444,0.0,21.252161,3.2568688,-6.455565754309247e-14,205.7627067631696
29,-21.11111,-2.0,0.0,21.205637,3.2360477,-6.465804574180438e-14,205.7002924422699
30,-21.11111,-1.5555556,0.0,21.168343,3.2151442,-6.466201113813422e-14,205.52563214912965
31,-21.11111,-1.1111112,0.0,21.140331,3.194176,-6.491226242468561e-14,205.78666458176903
32,-21.11111,-0.6666667,0.0,21.121635,3.1731613,-6.488500753481928e-14,205.65246135749896
33,-21.11111,-0.22222222,0.0,21.11228,3.1521187,-6.505196137682537e-14,205.87126163970578
34,-21.11111,0.22222222,0.0,21.11228,3.1310668,-6.525268601283262e-14,206.18863566904267
35,-21.11111,0.6666667,0.0,21.121635,3.1100242,-6.592960994040825e-14,207.30128072359588
36,-21.11111,1.1111112,0.0,21.140331,3.0890095,-6.562952343973724e-14,206.92048153846363
37,-21.11111,1.5555556,0.0,21.168343,3.0680413,-6.547387923739757e-14,206.81185267768114
38,-21.11111,2.0,0.0,21.205637,3.0471377,-6.793121088438498e-14,210.84256941818398
39,-21.11111,2.4444444,0.0,21.252161,3.0263166,-6.49419550523081e-14,206.377424893102
40,-21.11111,2.8888888,0.0,21.307856,3.0055952,-6.483057373334307e-14,206.47038420193294
41,-21.11111,3.3333333,0.0,21.372648,2.9849908,-6.495860414719649e-14,206.9881447265183
42,-21.11111,3.7777777,0.0,21.446459,2.9645195,-6.451467954167647e-14,206.63554475190224
43,-21.11111,4.2222223,0.0,21.529194,2.9441972,-6.432394795245557e-14,206.72747073456495
